time,open,high,low,close
2025-05-20T17:20:00.000000000Z,1.12629,1.12674,1.1262,1.12659
2025-05-20T17:25:00.000000000Z,1.1266,1.12672,1.1265,1.12668
2025-05-20T17:30:00.000000000Z,1.12666,1.1272,1.12663,1.1272
2025-05-20T17:35:00.000000000Z,1.1272,1.12739,1.12708,1.12738
2025-05-20T17:40:00.000000000Z,1.1274,1.12747,1.12717,1.12722
2025-05-20T17:45:00.000000000Z,1.12724,1.12754,1.12713,1.12754
2025-05-20T17:50:00.000000000Z,1.12753,1.12776,1.12745,1.12747
2025-05-20T17:55:00.000000000Z,1.12746,1.12752,1.12728,1.12738
2025-05-20T18:00:00.000000000Z,1.12739,1.12748,1.1272,1.12734
2025-05-20T18:05:00.000000000Z,1.12734,1.12772,1.12716,1.12772
2025-05-20T18:10:00.000000000Z,1.12771,1.12804,1.12758,1.12781
2025-05-20T18:15:00.000000000Z,1.12782,1.12784,1.12738,1.1275
2025-05-20T18:20:00.000000000Z,1.12751,1.12801,1.12736,1.12796
2025-05-20T18:25:00.000000000Z,1.12796,1.12801,1.12772,1.12789
2025-05-20T18:30:00.000000000Z,1.1279,1.12791,1.12747,1.12768
2025-05-20T18:35:00.000000000Z,1.12764,1.12773,1.12732,1.12757
2025-05-20T18:40:00.000000000Z,1.12754,1.1276,1.12718,1.12743
2025-05-20T18:45:00.000000000Z,1.12745,1.12758,1.12724,1.12726
2025-05-20T18:50:00.000000000Z,1.12726,1.12752,1.12721,1.12732
2025-05-20T18:55:00.000000000Z,1.12732,1.12738,1.12713,1.12725
2025-05-20T19:00:00.000000000Z,1.12726,1.12755,1.1272,1.12747
2025-05-20T19:05:00.000000000Z,1.12749,1.12753,1.12726,1.12751
2025-05-20T19:10:00.000000000Z,1.1275,1.12762,1.12742,1.12762
2025-05-20T19:15:00.000000000Z,1.12763,1.1278,1.12756,1.12767
2025-05-20T19:20:00.000000000Z,1.12768,1.1278,1.12761,1.12778
2025-05-20T19:25:00.000000000Z,1.12778,1.12802,1.12766,1.12787
2025-05-20T19:30:00.000000000Z,1.12788,1.12801,1.12786,1.12794
2025-05-20T19:35:00.000000000Z,1.12794,1.12796,1.12786,1.1279
2025-05-20T19:40:00.000000000Z,1.1279,1.12813,1.12788,1.12809
2025-05-20T19:45:00.000000000Z,1.12806,1.12826,1.12806,1.12823
2025-05-20T19:50:00.000000000Z,1.1282,1.12824,1.12788,1.128
2025-05-20T19:55:00.000000000Z,1.12802,1.12818,1.12778,1.12805
2025-05-20T20:00:00.000000000Z,1.12808,1.1281,1.12782,1.12786
2025-05-20T20:05:00.000000000Z,1.12786,1.12808,1.12785,1.12807
2025-05-20T20:10:00.000000000Z,1.12806,1.12822,1.12801,1.12819
2025-05-20T20:15:00.000000000Z,1.1282,1.1284,1.12816,1.1284
2025-05-20T20:20:00.000000000Z,1.12838,1.1285,1.12838,1.12838
2025-05-20T20:25:00.000000000Z,1.12838,1.12842,1.12836,1.12837
2025-05-20T20:30:00.000000000Z,1.12836,1.12836,1.12818,1.12818
2025-05-20T20:35:00.000000000Z,1.12817,1.12818,1.1281,1.12811
2025-05-20T20:40:00.000000000Z,1.12812,1.12828,1.1281,1.12828
2025-05-20T20:45:00.000000000Z,1.12826,1.12837,1.12822,1.12834
2025-05-20T20:50:00.000000000Z,1.12834,1.12845,1.12831,1.12837
2025-05-20T20:55:00.000000000Z,1.12838,1.1286,1.12836,1.12836
2025-05-20T21:00:00.000000000Z,1.12828,1.1283,1.12828,1.1283
2025-05-20T21:05:00.000000000Z,1.1283,1.1283,1.1281,1.12816
2025-05-20T21:10:00.000000000Z,1.12819,1.12828,1.1281,1.12824
2025-05-20T21:15:00.000000000Z,1.12823,1.12825,1.12814,1.12825
2025-05-20T21:20:00.000000000Z,1.12824,1.12831,1.12822,1.12822
2025-05-20T21:25:00.000000000Z,1.12822,1.12822,1.12816,1.12817
2025-05-20T21:30:00.000000000Z,1.12816,1.12824,1.12816,1.12821
2025-05-20T21:35:00.000000000Z,1.1282,1.12832,1.12819,1.1283
2025-05-20T21:40:00.000000000Z,1.12835,1.12838,1.12824,1.12827
2025-05-20T21:45:00.000000000Z,1.12828,1.12831,1.1281,1.12812
2025-05-20T21:50:00.000000000Z,1.12812,1.12844,1.12809,1.12844
2025-05-20T21:55:00.000000000Z,1.12834,1.12844,1.12826,1.12828
2025-05-20T22:00:00.000000000Z,1.12826,1.12852,1.12826,1.1285
2025-05-20T22:05:00.000000000Z,1.12854,1.12867,1.12841,1.12845
2025-05-20T22:10:00.000000000Z,1.12845,1.12875,1.12845,1.12856
2025-05-20T22:15:00.000000000Z,1.12858,1.12862,1.12844,1.12849
2025-05-20T22:20:00.000000000Z,1.12848,1.12848,1.12812,1.12832
2025-05-20T22:25:00.000000000Z,1.12832,1.12832,1.12812,1.12816
2025-05-20T22:30:00.000000000Z,1.12817,1.12832,1.12809,1.12816
2025-05-20T22:35:00.000000000Z,1.12817,1.12838,1.12809,1.12838
2025-05-20T22:40:00.000000000Z,1.12836,1.12836,1.12808,1.12818
2025-05-20T22:45:00.000000000Z,1.12817,1.12817,1.12804,1.12809
2025-05-20T22:50:00.000000000Z,1.12812,1.12822,1.12812,1.12821
2025-05-20T22:55:00.000000000Z,1.1282,1.1282,1.1281,1.1281
2025-05-20T23:00:00.000000000Z,1.12812,1.12818,1.12807,1.12814
2025-05-20T23:05:00.000000000Z,1.12815,1.12836,1.12814,1.12816
2025-05-20T23:10:00.000000000Z,1.1282,1.12836,1.12816,1.12834
2025-05-20T23:15:00.000000000Z,1.12835,1.12846,1.12835,1.12839
2025-05-20T23:20:00.000000000Z,1.12838,1.12858,1.12838,1.12858
2025-05-20T23:25:00.000000000Z,1.12858,1.12886,1.12858,1.12874
2025-05-20T23:30:00.000000000Z,1.12873,1.12875,1.1284,1.12848
2025-05-20T23:35:00.000000000Z,1.12846,1.12856,1.12838,1.12852
2025-05-20T23:40:00.000000000Z,1.12852,1.12864,1.12848,1.12861
2025-05-20T23:45:00.000000000Z,1.1286,1.12886,1.1285,1.12886
2025-05-20T23:50:00.000000000Z,1.12885,1.12902,1.12866,1.12874
2025-05-20T23:55:00.000000000Z,1.12873,1.1289,1.12869,1.12883
2025-05-21T00:00:00.000000000Z,1.12884,1.1291,1.12878,1.12898
