Symbol,RSI_PERIOD,BUY_THRESH,SELL_THRESH,ATR_MULTIPLIER,MIN_SL,TP_SL_RATIO,TotalTrades,Profit,WinRate
USD_JPY,14,30,80,1.5,0.02,1.0,728,-525.88,47.53
USD_JPY,14,30,80,1.5,0.02,1.5,728,-655.98,42.58
USD_JPY,14,30,80,1.5,0.02,2.0,728,-660.79,41.35
USD_JPY,14,30,80,1.5,0.03,1.0,728,-525.88,47.53
USD_JPY,14,30,80,1.5,0.03,1.5,728,-655.98,42.58
USD_JPY,14,30,80,1.5,0.03,2.0,728,-660.79,41.35
USD_JPY,14,30,80,2.0,0.02,1.0,728,-365.9,48.08
USD_JPY,14,30,80,2.0,0.02,1.5,728,-469.13,45.6
USD_JPY,14,30,80,2.0,0.02,2.0,728,-614.87,44.37
USD_JPY,14,30,80,2.0,0.03,1.0,728,-365.9,48.08
USD_JPY,14,30,80,2.0,0.03,1.5,728,-469.13,45.6
USD_JPY,14,30,80,2.0,0.03,2.0,728,-614.87,44.37
USD_JPY,21,20,70,1.0,0.02,1.0,296,872.67,57.09
USD_JPY,21,20,70,1.0,0.02,1.5,296,706.88,55.41
USD_JPY,21,20,70,1.0,0.02,2.0,296,411.29,53.72
USD_JPY,21,20,70,1.0,0.03,1.0,296,872.67,57.09
USD_JPY,21,20,70,1.0,0.03,1.5,296,706.88,55.41
USD_JPY,21,20,70,1.0,0.03,2.0,296,411.29,53.72
USD_JPY,21,20,70,1.5,0.02,1.0,296,380.58,56.08
USD_JPY,21,20,70,1.5,0.02,1.5,296,178.41,54.05
USD_JPY,21,20,70,1.5,0.02,2.0,296,165.38,53.72
USD_JPY,21,20,70,1.5,0.03,1.0,296,380.58,56.08
USD_JPY,21,20,70,1.5,0.03,1.5,296,178.41,54.05
USD_JPY,21,20,70,1.5,0.03,2.0,296,165.38,53.72
USD_JPY,21,20,70,2.0,0.02,1.0,296,256.01,53.04
USD_JPY,21,20,70,2.0,0.02,1.5,296,204.34,52.36
USD_JPY,21,20,70,2.0,0.02,2.0,296,164.06,52.03
USD_JPY,21,20,70,2.0,0.03,1.0,296,256.01,53.04
USD_JPY,21,20,70,2.0,0.03,1.5,296,204.34,52.36
USD_JPY,21,20,70,2.0,0.03,2.0,296,164.06,52.03
USD_JPY,21,20,75,1.0,0.02,1.0,174,734.99,59.2
USD_JPY,21,20,75,1.0,0.02,1.5,174,581.39,56.32
USD_JPY,21,20,75,1.0,0.02,2.0,174,307.53,53.45
USD_JPY,21,20,75,1.0,0.03,1.0,174,734.99,59.2
USD_JPY,21,20,75,1.0,0.03,1.5,174,581.39,56.32
USD_JPY,21,20,75,1.0,0.03,2.0,174,307.53,53.45
USD_JPY,21,20,75,1.5,0.02,1.0,174,312.19,56.9
USD_JPY,21,20,75,1.5,0.02,1.5,174,120.04,53.45
USD_JPY,21,20,75,1.5,0.02,2.0,174,107.65,52.87
USD_JPY,21,20,75,1.5,0.03,1.0,174,312.19,56.9
USD_JPY,21,20,75,1.5,0.03,1.5,174,120.04,53.45
USD_JPY,21,20,75,1.5,0.03,2.0,174,107.65,52.87
USD_JPY,21,20,75,2.0,0.02,1.0,174,113.09,52.3
USD_JPY,21,20,75,2.0,0.02,1.5,174,67.3,51.15
USD_JPY,21,20,75,2.0,0.02,2.0,174,31.61,50.57
USD_JPY,21,20,75,2.0,0.03,1.0,174,113.09,52.3
USD_JPY,21,20,75,2.0,0.03,1.5,174,67.3,51.15
USD_JPY,21,20,75,2.0,0.03,2.0,174,31.61,50.57
USD_JPY,21,20,80,1.0,0.02,1.0,85,443.75,62.35
USD_JPY,21,20,80,1.0,0.02,1.5,85,315.94,56.47
