time,open,high,low,close,volume
2025-03-31T20:00:00.000000000Z,1.29187,1.29214,1.29132,1.29194,2294
2025-03-31T20:15:00.000000000Z,1.29194,1.29198,1.2917,1.29182,537
2025-03-31T20:30:00.000000000Z,1.29182,1.2919,1.29168,1.29186,784
2025-03-31T20:45:00.000000000Z,1.29188,1.29208,1.29168,1.29169,1024
2025-03-31T21:00:00.000000000Z,1.2918,1.29181,1.29166,1.29176,29
2025-03-31T21:15:00.000000000Z,1.29176,1.2919,1.2916,1.29172,90
2025-03-31T21:30:00.000000000Z,1.29172,1.2918,1.29166,1.29174,159
2025-03-31T21:45:00.000000000Z,1.29173,1.29216,1.29156,1.2918,792
2025-03-31T22:00:00.000000000Z,1.29188,1.2921,1.29158,1.29187,519
2025-03-31T22:15:00.000000000Z,1.29186,1.29204,1.2918,1.29192,459
2025-03-31T22:30:00.000000000Z,1.29192,1.29197,1.29178,1.29196,264
2025-03-31T22:45:00.000000000Z,1.29198,1.29208,1.29194,1.29198,280
2025-03-31T23:00:00.000000000Z,1.29198,1.29214,1.29192,1.292,358
2025-03-31T23:15:00.000000000Z,1.29201,1.29202,1.2916,1.29174,385
2025-03-31T23:30:00.000000000Z,1.29174,1.29202,1.29163,1.29195,737
2025-03-31T23:45:00.000000000Z,1.29194,1.29206,1.29183,1.29194,709
2025-04-01T00:00:00.000000000Z,1.29196,1.29244,1.29182,1.29234,1617
2025-04-01T00:15:00.000000000Z,1.29234,1.29272,1.29226,1.29229,1267
2025-04-01T00:30:00.000000000Z,1.2923,1.29241,1.29204,1.29226,1184
2025-04-01T00:45:00.000000000Z,1.29225,1.29272,1.29208,1.29264,1866
2025-04-01T01:00:00.000000000Z,1.29264,1.29273,1.29206,1.29242,1858
2025-04-01T01:15:00.000000000Z,1.29241,1.29263,1.2922,1.29252,1744
2025-04-01T01:30:00.000000000Z,1.29254,1.29262,1.29184,1.29232,1580
2025-04-01T01:45:00.000000000Z,1.29234,1.29246,1.2918,1.2922,1617
2025-04-01T02:00:00.000000000Z,1.2922,1.29275,1.29206,1.29272,1620
2025-04-01T02:15:00.000000000Z,1.29272,1.29331,1.29258,1.29322,1080
2025-04-01T02:30:00.000000000Z,1.29322,1.29346,1.29314,1.29322,1370
2025-04-01T02:45:00.000000000Z,1.29325,1.29342,1.29298,1.2931,1556
2025-04-01T03:00:00.000000000Z,1.2931,1.2933,1.29288,1.2931,873
2025-04-01T03:15:00.000000000Z,1.29312,1.29332,1.29307,1.29316,831
2025-04-01T03:30:00.000000000Z,1.29316,1.29364,1.29298,1.29314,1641
